version,base version,scenario,solution,timestamp,duration,base duration,relative duration
8.0.100-alpha.1.23062.10,7.0.100,cold,LargeAppCPM-nostaticgraph-142722b,2023-01-12T23:17:25.7641464Z,313.5658727,70.6371511,443.9107011211272
8.0.100-alpha.1.23062.10,7.0.100,force,LargeAppCPM-nostaticgraph-142722b,2023-01-12T23:17:25.7641464Z,587.8565332,87.0993386,674.9265179839149
8.0.100-alpha.1.23062.10,7.0.100,noop,LargeAppCPM-nostaticgraph-142722b,2023-01-12T23:17:25.7641464Z,18.7493441,19.0609353,98.3652890317507
8.0.100-alpha.1.23062.10,6.0.400,warmup,OrchardCore-5dbd92c,2023-01-12T23:13:14.8619759Z,29.7059197,24.3150354,122.17099095812955
8.0.100-alpha.1.23062.10,6.0.400,arctic,OrchardCore-5dbd92c,2023-01-12T23:13:14.8619759Z,23.6984135,21.4444938,110.51048218261043
8.0.100-alpha.1.23062.10,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T23:13:14.8619759Z,20.6160339,19.3664155,106.45250227126442
8.0.100-alpha.1.23062.10,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T23:13:14.8619759Z,14.1983291,13.0706462,108.62759868750788
8.0.100-alpha.1.23062.10,6.0.400,noop,OrchardCore-5dbd92c,2023-01-12T23:13:14.8619759Z,9.7800581,9.2307652,105.95067568179503
8.0.100-alpha.1.23062.10,7.0.100,warmup,Orleans-eda972a,2023-01-12T23:12:29.0283710Z,25.5630102,24.080643,106.15584558933912
8.0.100-alpha.1.23062.10,7.0.100,arctic,Orleans-eda972a,2023-01-12T23:12:29.0283710Z,22.2545194,21.4050669,103.9684645881672
8.0.100-alpha.1.23062.10,7.0.100,cold,Orleans-eda972a,2023-01-12T23:12:29.0283710Z,17.0801498,16.6316136,102.69688925432948
8.0.100-alpha.1.23062.10,7.0.100,force,Orleans-eda972a,2023-01-12T23:12:29.0283710Z,6.884262,6.837873,100.67841271693696
8.0.100-alpha.1.23062.10,7.0.100,noop,Orleans-eda972a,2023-01-12T23:12:29.0283710Z,5.2972123,5.1668049,102.52394666576244
8.0.100-alpha.1.23062.10,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T23:17:18.3385744Z,684.6030617,106.2010325,644.6293840881443
8.0.100-alpha.1.23062.10,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T23:17:18.3385744Z,336.7417758,70.2963589,479.0316042955107
8.0.100-alpha.1.23062.10,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T23:17:18.3385744Z,338.0124411,58.006996,582.7097840060534
8.0.100-alpha.1.23062.10,7.0.100,force,LargeAppCPM-142722b,2023-01-12T23:17:18.3385744Z,557.1673644,76.999205,723.6014506903025
8.0.100-alpha.1.23062.10,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T23:17:18.3385744Z,10.4605331,9.9928157,104.6805366379368
8.0.100-alpha.1.23062.10,7.0.100,warmup,NuGetClient-win-d76a117,2023-01-13T01:01:04.4448699Z,140.1076842,165.8139462,84.4969240590934
8.0.100-alpha.1.23062.10,7.0.100,arctic,NuGetClient-win-d76a117,2023-01-13T01:01:04.4448699Z,109.6625911,104.5956696,104.84429376414643
8.0.100-alpha.1.23062.10,7.0.100,cold,NuGetClient-win-d76a117,2023-01-13T01:01:04.4448699Z,103.5879289,96.3790911,107.47966983058632
8.0.100-alpha.1.23062.10,7.0.100,force,NuGetClient-win-d76a117,2023-01-13T01:01:04.4448699Z,20.2043322,19.0107999,106.2781803305394
8.0.100-alpha.1.23062.10,7.0.100,noop,NuGetClient-win-d76a117,2023-01-13T01:01:04.4448699Z,13.8990503,13.5865045,102.30041362000064
